,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi,PadN
1712,0,104,14,1,D3,3,3,ZZ.00.104,1.0,J1,26,0.4295146206079795,63.64175881633657,29.1500692068346,-65.91389160297838,411.3444718104935,416.5920253621078,1.7296857162393533,132
1741,0,105,14,1,E8,4,8,ZZ.00.105,1.0,J1,0,0.4336052360423412,63.52198496355731,29.410158556009165,-67.54190943489786,411.0802915066485,416.5920253621078,1.7336447791908762,132
1764,0,106,14,1,F7,5,7,ZZ.00.106,1.0,J1,4,0.4376958514767029,63.40114819033374,29.669755781727304,-69.16886860419098,410.80966786496055,416.59202536210773,1.7376038421423992,132
1665,0,107,14,1,B4,1,4,ZZ.00.107,1.0,J1,25,0.4417864669110646,63.279250518641035,29.928856540119742,-70.79474360964109,410.53260512722767,416.5920253621078,1.741562905093922,132
1688,0,108,14,1,C3,2,3,ZZ.00.108,1.0,J1,29,0.44587708234542633,63.15629398820651,30.18745649562465,-72.41950896702485,410.2491076361752,416.5920253621078,1.745521968045445,132
1717,0,109,14,1,D8,3,8,ZZ.00.109,1.0,J1,3,0.44996769777978807,63.03228065647545,30.445551321060194,-74.04313920951176,409.95917983538794,416.59202536210785,1.749481030996968,132
1740,0,110,14,1,E7,4,7,ZZ.00.110,1.0,J1,7,0.45405831321414974,62.90721259857677,30.703136697696934,-75.66560888806326,409.6628262692402,416.5920253621078,1.7534400939484909,132
1763,0,111,14,1,F6,5,6,ZZ.00.111,1.0,J1,11,0.4581489286485115,62.781091907288186,30.96020831533009,-77.28689257183166,409.3600515828251,416.59202536210785,1.7573991569000138,132
1923,0,112,16,1,B6,1,6,ZZ.00.112,0.0,J1,15,0.46223954408287315,62.65392069300126,31.216761872351668,-78.90696484855876,409.050860521881,416.5920253621078,1.7613582198515367,132
1946,0,113,16,1,C5,2,5,ZZ.00.113,0.0,J1,19,0.4663301595172349,62.52570108368607,31.47279307582246,-80.52580032497413,408.7352579327179,416.5920253621078,1.7653172828030597,132
1969,0,114,16,1,D4,3,4,ZZ.00.114,0.0,J1,23,0.47042077495159657,62.39643522485563,31.728297641543826,-82.14337362719316,408.41324876214094,416.5920253621078,1.7692763457545826,132
1992,0,115,16,1,E3,4,3,ZZ.00.115,0.0,J1,27,0.4745113903859583,62.26612527952992,31.983271294129445,-83.75965940111472,408.08483805737296,416.5920253621078,1.7732354087061055,132
2021,0,116,16,1,F8,5,8,ZZ.00.116,0.0,J1,1,0.47860200582032003,62.13477342819978,32.2377097670768,-85.37463231281866,407.75003096597567,416.59202536210785,1.7771944716576284,132
2041,0,117,16,1,F2,5,2,ZZ.00.117,0.0,J1,31,0.4826926212546817,62.002381868790344,32.491608802838606,-86.9882670489628,407.4088327357685,416.59202536210785,1.7811535346091514,132
1922,0,118,16,1,B5,1,5,ZZ.00.118,0.0,J1,18,0.48678323668904344,61.8689528166243,32.74496415289404,-88.60053831717974,407.0612487147469,416.5920253621078,1.7851125975606743,132
1945,0,119,16,1,C4,2,4,ZZ.00.119,0.0,J1,22,0.4908738521234051,61.734488504384856,32.99777157781983,-90.21142084647333,406.707284350998,416.59202536210785,1.7890716605121972,132
1968,0,120,16,1,D3,3,3,ZZ.00.120,0.0,J1,26,0.49496446755776685,61.598991182078294,33.250026847361205,-91.82088938761467,406.3469451926155,416.5920253621078,1.7930307234637202,132
1997,0,121,16,1,E8,4,8,ZZ.00.121,0.0,J1,0,0.4990550829921286,61.462463116996396,33.50172574050266,-93.42891871353801,405.98023688761276,416.59202536210785,1.796989786415243,132
2020,0,122,16,1,F7,5,7,ZZ.00.122,0.0,J1,4,0.5031456984264903,61.32490659367846,33.75286404553859,-95.03548361973601,405.60716518383396,416.59202536210785,1.800948849366766,132
